YEAR;MONTH;FLIGHT_NUMBER;ORIGIN;DESTINATION;DURATION;DELAY
2012;9;5026;TXL;DUS;133;33
2012;4;5010;TGD;AMS;98;3
2010;8;5014;ACE;SVQ;62;22
2010;4;5003;FMM;TBS;56;1
2013;8;5002;BVA;FMM;93;3
2010;7;5016;IST;BHX;104;29
2012;3;5021;LTN;MAN;194;-6
2013;7;5000;TIA;MPL;102;2
2010;12;5017;BHX;JER;68;3
2012;12;5014;ACE;SVQ;70;30
2013;4;5022;MAN;GLA;207;-3
2011;1;5023;GLA;SXF;195;30
2012;11;5015;SVQ;IST;52;-8
2011;9;5008;LPA;LUX;114;34
2010;6;5014;ACE;SVQ;71;31
2010;9;5003;FMM;TBS;74;19
2012;2;5005;CGN;MAD;124;14
2013;5;5021;LTN;MAN;235;35
2011;12;5019;LCY;LPL;138;8
2012;12;5008;LPA;LUX;85;5
2013;9;5010;TGD;AMS;92;-3
2012;5;5023;GLA;SXF;171;6
2012;12;5015;SVQ;IST;80;20
2011;8;5016;IST;BHX;100;25
2013;12;5014;ACE;SVQ;70;30
2010;11;5010;TGD;AMS;122;27
2011;9;5012;BGO;OSL;159;9
2013;10;5026;TXL;DUS;127;27
2010;1;5012;BGO;OSL;183;33
2010;11;5020;LPL;LTN;189;34
2011;1;5018;JER;LCY;163;28
2012;10;5025;CDG;TXL;78;8
2013;6;5006;MAD;BCN;116;31
2013;11;5020;LPL;LTN;174;19
2013;9;5023;GLA;SXF;172;7
2012;11;5021;LTN;MAN;227;27
2011;4;5008;LPA;LUX;81;1
2011;5;5008;LPA;LUX;84;4
2010;2;5001;MPL;BVA;120;0
2012;5;5007;BCN;LPA;83;13
2011;10;5026;TXL;DUS;110;10
2010;9;5014;ACE;SVQ;38;-2
2011;12;5022;MAN;GLA;229;19
2010;12;5020;LPL;LTN;151;-4
2012;9;5016;IST;BHX;86;11
2010;8;5004;TBS;CGN;249;9
2011;1;5008;LPA;LUX;89;9
2012;5;5010;TGD;AMS;103;8
2012;6;5018;JER;LCY;167;32
2010;4;5016;IST;BHX;89;14
2012;7;5003;FMM;TBS;90;35
2012;3;5011;AMS;BGO;199;19
2011;4;5021;LTN;MAN;196;-4
2011;4;5025;CDG;TXL;103;33
2011;3;5019;LCY;LPL;132;2
2012;8;5014;ACE;SVQ;74;34
2011;1;5003;FMM;TBS;58;3
2012;7;5021;LTN;MAN;215;15
2012;2;5016;IST;BHX;103;28
2011;8;5024;SXF;CDG;113;33
